s	betax	betay
4.082159999999999e+00	6.746823917940939e+00	1.170811248252302e+01
4.086659999999999e+00	6.686810277273612e+00	1.179895981643298e+01
4.091159999999999e+00	6.627070773582206e+00	1.189016169340972e+01
4.095660000000000e+00	6.567605406866722e+00	1.198171811345323e+01
4.100160000000000e+00	6.508414177127160e+00	1.207362907656351e+01
4.104660000000000e+00	6.449497084363521e+00	1.216589458274057e+01
4.109160000000000e+00	6.390854128575802e+00	1.225851463198440e+01
4.113660000000000e+00	6.332485309764007e+00	1.235148922429501e+01
4.118160000000000e+00	6.274390627928133e+00	1.244481835967239e+01
4.122660000000001e+00	6.216570083068181e+00	1.253850203811654e+01
4.127160000000001e+00	6.159023675184151e+00	1.263254025962746e+01
4.142160000000001e+00	5.972206345854294e+00	1.294212505337414e+01
4.157160000000000e+00	5.794236553695280e+00	1.324236538698644e+01
4.172160000000000e+00	5.624757394873165e+00	1.353265935425827e+01
4.187160000000000e+00	5.463428992823371e+00	1.381242498894149e+01
4.202159999999999e+00	5.309927816656096e+00	1.408110143144156e+01
4.217159999999999e+00	5.163946032341617e+00	1.433815005319975e+01
4.232159999999999e+00	5.025190885374375e+00	1.458305553650758e+01
4.247159999999998e+00	4.893384113677804e+00	1.481532690758903e+01
4.262159999999998e+00	4.768261389572541e+00	1.503449852087918e+01
4.277159999999998e+00	4.649571789688923e+00	1.524013099252627e+01
4.284659999999998e+00	4.591986659803360e+00	1.533965822768091e+01
4.292159999999998e+00	4.534784699478214e+00	1.543951675020652e+01
4.299659999999998e+00	4.477965908713486e+00	1.553970656010309e+01
4.307159999999999e+00	4.421530287509175e+00	1.564022765737062e+01
4.314659999999999e+00	4.365477835865282e+00	1.574108004200911e+01
4.322159999999999e+00	4.309808553781806e+00	1.584226371401856e+01
4.329660000000000e+00	4.254522441258748e+00	1.594377867339898e+01
4.337160000000000e+00	4.199619498296109e+00	1.604562492015036e+01
4.344660000000000e+00	4.145099724893886e+00	1.614780245427271e+01
4.352160000000000e+00	4.090963121052082e+00	1.625031127576601e+01
4.362160000000000e+00	4.019377024134768e+00	1.638750504033414e+01
4.372160000000000e+00	3.948472117547086e+00	1.652528776022843e+01
4.382160000000000e+00	3.878248401289036e+00	1.666365943544887e+01
4.392160000000000e+00	3.808705875360616e+00	1.680262006599547e+01
4.402159999999999e+00	3.739844539761828e+00	1.694216965186822e+01
4.412159999999999e+00	3.671664394492671e+00	1.708230819306713e+01
4.422159999999999e+00	3.604165439553145e+00	1.722303568959220e+01
4.432159999999999e+00	3.537347674943251e+00	1.736435214144342e+01
4.442159999999999e+00	3.471211100662987e+00	1.750625754862080e+01
4.452159999999998e+00	3.405755716712355e+00	1.764875191112434e+01
4.459909999999998e+00	3.355496325374215e+00	1.775959013289985e+01
4.467659999999998e+00	3.305646073977809e+00	1.787078209596813e+01
4.475409999999997e+00	3.256204962523138e+00	1.798232780032918e+01
4.483159999999997e+00	3.207172991010202e+00	1.809422724598301e+01
4.490909999999997e+00	3.158550159439001e+00	1.820648043292961e+01
4.498659999999997e+00	3.110336467809534e+00	1.831908736116898e+01
4.506409999999996e+00	3.062531916121803e+00	1.843204803070112e+01
4.514159999999996e+00	3.015136504375806e+00	1.854536244152604e+01
4.521909999999996e+00	2.968150232571543e+00	1.865903059364373e+01
4.529659999999995e+00	2.921573100709016e+00	1.877305248705419e+01
4.529659999999995e+00	2.921573100709016e+00	1.877305248705419e+01
4.537409999999995e+00	2.875405108788223e+00	1.888742812175742e+01
4.545159999999995e+00	2.829646256809165e+00	1.900215749775343e+01
4.552909999999994e+00	2.784296544771842e+00	1.911724061504221e+01
4.560659999999994e+00	2.739355972676253e+00	1.923267747362376e+01
4.568409999999994e+00	2.694824540522399e+00	1.934846807349808e+01
4.576159999999994e+00	2.650702248310280e+00	1.946461241466518e+01
4.583909999999993e+00	2.606989096039896e+00	1.958111049712505e+01
4.591659999999993e+00	2.563685083711247e+00	1.969796232087769e+01
4.599409999999993e+00	2.520790211324332e+00	1.981516788592310e+01
