s	betax	betay
 1.359100000000000e+01  2.274413037447133e+00  5.619239876165801e+00 
 1.359410000000000e+01  2.264369132568193e+00  5.638024685648841e+00 
 1.360410000000000e+01  2.232178654425800e+00  5.698857767214865e+00 
 1.362910000000000e+01  2.153099887608307e+00  5.852522965026090e+00 
 1.367910000000001e+01  2.000931333423991e+00  6.166635477346388e+00 
 1.370410000000001e+01  1.927841546057166e+00  6.327082791855460e+00 
 1.376600000000001e+01  1.755462000337678e+00  6.734078809713408e+00 
 1.506600000000001e+01  1.755463016491825e+00  6.734077292825717e+00 
 1.510690000000001e+01  1.867989990559450e+00  6.463604040131171e+00 
 1.518190000000001e+01  2.088217758077215e+00  5.983347148643697e+00 
 1.521600000000001e+01  2.194289548391462e+00  5.771718773023969e+00 
 1.526600000000001e+01  2.356535678004014e+00  5.469018254921416e+00 
 1.530010000000001e+01  2.471767608481288e+00  5.267763123849261e+00 
 1.537510000000001e+01  2.738278229801179e+00  4.839918461029075e+00 
 1.541600000000001e+01  2.891185923779688e+00  4.615173666107844e+00 
 1.671600000000001e+01  2.891192361575126e+00  4.615172571160996e+00 
 1.674100000000001e+01  2.797093263005664e+00  4.751828172189278e+00 
 1.689100000000001e+01  2.274421385374165e+00  5.619236595856180e+00 
 1.689410000000001e+01  2.264377478538909e+00  5.638021399397958e+00 
 1.690410000000001e+01  2.232186993375329e+00  5.698854461801670e+00 
 1.692910000000001e+01  2.153108204259219e+00  5.852519611727524e+00 
 1.697910000000001e+01  2.000939585139181e+00  6.166632028364548e+00 
 1.700410000000000e+01  1.927849755135254e+00  6.327079295075718e+00 
 1.706600000000001e+01  1.755470074672176e+00  6.734075194711525e+00 
 1.836600000000001e+01  1.755465151362798e+00  6.734075615629852e+00 
 1.840690000000001e+01  1.867991701074890e+00  6.463602507823954e+00 
 1.848190000000001e+01  2.088218607160939e+00  5.983345870415421e+00 
 1.851600000000001e+01  2.194289970170544e+00  5.771717605348250e+00 
 1.856600000000001e+01  2.356535432953045e+00  5.469017243730223e+00 
 1.860010000000000e+01  2.471766881178770e+00  5.267762215550404e+00 
 1.867510000000000e+01  2.738276363440221e+00  4.839917768104855e+00 
 1.871600000000000e+01  2.891183390840300e+00  4.615173084303660e+00 
 2.001600000000001e+01  2.891178115651791e+00  4.615175236070303e+00 
 2.004100000000000e+01  2.797079257023318e+00  4.751830957111981e+00 
 2.019100000000000e+01  2.274408860553720e+00  5.619240146780395e+00 
 2.019410000000000e+01  2.264364985079769e+00  5.638024966983142e+00 
 2.020410000000000e+01  2.232174601288869e+00  5.698858083361086e+00 
 2.022910000000000e+01  2.153096066988327e+00  5.852523369753223e+00 
 2.027910000000000e+01  2.000927963430276e+00  6.166636065882976e+00 
 2.030410000000000e+01  1.927838394172768e+00  6.327083475620591e+00 
 2.036600000000000e+01  1.755459367825214e+00  6.734079738799964e+00 
 2.166600000000000e+01  1.755467492693351e+00  6.734081471657667e+00 
 2.170690000000000e+01  1.867994746917185e+00  6.463608167361539e+00 
 2.178190000000000e+01  2.088223038013377e+00  5.983351176850278e+00 
 2.181600000000000e+01  2.194295070594659e+00  5.771722754324638e+00 
 2.186600000000000e+01  2.356541560199773e+00  5.469022165316655e+00 
 2.190010000000000e+01  2.471773739439867e+00  5.267766984435408e+00 
 2.197510000000000e+01  2.738284917159018e+00  4.839922207922720e+00 
 2.201600000000000e+01  2.891192919929151e+00  4.615177348601790e+00 
 2.331600000000000e+01  2.891196276483814e+00  4.615179547603885e+00 
 2.334100000000000e+01  2.797096943650804e+00  4.751835378328273e+00 
 2.349100000000000e+01  2.274423767241418e+00  5.619245249042459e+00 
 2.349410000000000e+01  2.264379835495800e+00  5.638030083735088e+00 
 2.350410000000000e+01  2.232189270509207e+00  5.698863246969115e+00 
 2.360410000000000e+01  1.927851278794728e+00  6.327089117406389e+00 
 2.366600000000000e+01  1.755471172705927e+00  6.734085685339367e+00 
 2.496600000000000e+01  1.755461010714951e+00  6.734086153537259e+00 
 2.500690000000001e+01  1.867987381239709e+00  6.463612603534825e+00 
 2.508190000000000e+01  2.088213962243544e+00  5.983355177770275e+00 
 2.511600000000000e+01  2.194285178947463e+00  5.771726563901324e+00 
 2.516600000000000e+01  2.356530428899068e+00  5.469025701736744e+00 
 2.520010000000000e+01  2.471761733129137e+00  5.267770339613207e+00 
 2.527510000000000e+01  2.738270901980116e+00  4.839925178884015e+00 
 2.531600000000000e+01  2.891177760376183e+00  4.615180118385195e+00 
 2.661600000000000e+01  2.891176803508445e+00  4.615179094909953e+00 
 2.664100000000000e+01  2.797078111181703e+00  4.751834861898316e+00 
 2.679100000000000e+01  2.274408615075927e+00  5.619244316050437e+00 
 2.679410000000000e+01  2.264364756447623e+00  5.638029141516745e+00 
 2.680410000000000e+01  2.232174426511218e+00  5.698862274818043e+00 
 2.682910000000000e+01  2.153096023598693e+00  5.852527603145354e+00 
 2.687910000000000e+01  2.000928168895741e+00  6.166640381545969e+00 
 2.690410000000000e+01  1.927838717105314e+00  6.327087831619273e+00 
 2.696600000000000e+01  1.755459961637649e+00  6.734084192375461e+00 
 2.826600000000000e+01  1.755470704360155e+00  6.734082699746562e+00 
 2.830690000000000e+01  1.867998011121766e+00  6.463609220164307e+00 
